"PFD_PERIOD_NO","WK","PRD_NAME","PRD_SERIES","QTY_FC"
"202417",WK2428,RGP-096L-0D,RGP,140600
"202417",WK2430,RGP-096L-0D,RGP,112480
"202417",WK2420,RGP-096L-0D,RGP,439085
"202417",WK2423,RGP-096L-0D,RGP,194560
"202417",WK2422,RGP-096L-0D,RGP,172064
"202417",WK2426,RGP-096L-0D,RGP,140600
"202417",WK2427,RGP-096L-0D,RGP,140600
"202417",WK2435,RGP-096L-0D,RGP,95608
"202417",WK2432,RGP-096L-0D,RGP,112480
"202417",WK2436,RGP-096L-0D,RGP,95608
"202417",WK2421,RGP-096L-0D,RGP,209862
"202417",WK2429,RGP-096L-0D,RGP,140600
"202417",WK2433,RGP-096L-0D,RGP,95608
"202417",WK2434,RGP-096L-0D,RGP,95608
"202417",WK2417,RGP-096L-0D,RGP,656922
"202417",WK2418,RGP-096L-0D,RGP,156000
"202417",WK2425,RGP-096L-0D,RGP,196080
"202417",WK2419,RGP-096L-0D,RGP,248000
"202417",WK2424,RGP-096L-0D,RGP,194560
"202417",WK2431,RGP-096L-0D,RGP,112480
